"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Jose Altuve","Astros","152","664","595","182","33","3","26","102","90","55","97","16","5",".306",".369",".500",".870",".365","5417"
"Max Muncy","Dodgers","136","602","505","128","24","2","33","91","92","85","149","3","1",".253",".366",".506",".871",".364","13301"
"Ketel Marte","Diamondbacks","156","672","608","178","35","6","23","94","89","56","91","9","3",".293",".354",".487",".841",".352","13613"
"Gleyber Torres","Yankees","152","656","589","162","29","2","34","92","93","56","147","7","3",".275",".341",".502",".842",".350","16997"
"Jeff McNeil","Mets","147","637","574","165","33","4","20","83","77","43","87","8","3",".287",".349",".463",".813",".343","15362"
"Howie Kendrick","Nationals","105","319","292","86","16","1","11","42","44","22","52","3","1",".293",".346",".467",".814",".343","4229"
"Ozzie Albies","Braves","154","671","610","174","38","6","23","94","88","49","109","16","4",".285",".341",".479",".821",".342","16556"
"Yoan Moncada","White Sox","151","641","571","152","30","4","26","90","79","60","183","14","4",".266",".339",".472",".811",".340","17232"
"Daniel Murphy","Rockies","130","563","514","149","36","3","17","71","77","39","78","2","1",".291",".342",".474",".816",".340","4316"
"Javier Baez","Cubs","154","673","624","171","33","4","34","95","100","36","177","16","5",".274",".318",".503",".821",".338","12979"
"DJ LeMahieu","Yankees","154","663","601","176","27","3","18","87","73","52","98","6","3",".292",".350",".435",".785",".335","9874"
"Luis Arraez","Twins","130","560","505","155","32","3","4","69","56","44","51","4","2",".308",".363",".408",".771",".331","18568"
"Ryan McMahon","Rockies","131","570","511","131","31","3","21","75","76","51","162","5","2",".257",".328",".455",".783",".329","15112"
"Brian Dozier","","65","280","244","57","12","1","13","37","37","31","64","3","1",".233",".325",".450",".775",".327","9810"
"Starlin Castro","Nationals","122","532","495","140","25","1","19","65","75","29","89","3","1",".284",".325",".453",".778",".326","4579"
"Asdrubal Cabrera","Nationals","87","302","271","70","15","1","11","37","42","26","60","1","0",".258",".326",".447",".773",".325","4962"
"Keston Hiura","Brewers","146","636","578","149","32","3","26","82","85","44","186","11","3",".258",".320",".455",".776",".325","20003"
"Brandon Lowe","Rays","136","579","515","126","28","3","24","73","73","54","167","6","2",".245",".321",".450",".771",".325","18882"
"Cavan Biggio","Blue Jays","136","577","487","111","24","3","20","74","61","79","165","10","3",".228",".339",".411",".750",".322","19252"
"Whit Merrifield","Royals","156","654","600","168","38","5","14","83","69","43","109","23","7",".281",".333",".428",".761",".322","11281"
"Cesar Hernandez","Indians","133","572","511","141","22","5","10","71","57","53","98","8","3",".276",".347",".396",".743",".320","10556"
"Wilmer Flores","Giants","105","350","322","88","17","1","11","38","45","21","41","1","0",".274",".323",".433",".756",".319","5827"
"Robinson Cano","Mets","130","560","511","136","29","1","19","64","70","41","90","0","0",".266",".323",".436",".758",".318","3269"
"Gavin Lux","Dodgers","130","573","517","135","27","4","16","76","66","49","127","9","3",".261",".326",".423",".749",".317","19955"
"Enrique Hernandez","Dodgers","89","271","242","59","12","1","11","35","35","25","54","1","0",".245",".317",".438",".755",".317","10472"
"Scooter Gennett","","60","259","239","63","13","1","9","30","33","16","60","1","0",".262",".312",".443",".755",".316","10339"
"Jonathan Schoop","Tigers","136","572","533","137","27","1","25","66","77","27","129","2","1",".257",".301",".455",".756",".316","11265"
"Brad Miller","Cardinals","42","102","90","21","4","1","4","13","13","10","28","1","0",".233",".314",".435",".749",".316","12775"
"Ty France","Padres","37","81","73","18","4","0","3","9","10","5","16","0","0",".253",".323",".417",".740",".315","17982"
"Neil Walker","","53","132","116","29","6","0","4","15","16","13","27","0","0",".247",".327",".411",".739",".315","7539"
"Adam Frazier","Pirates","131","563","507","139","29","4","9","64","58","43","74","8","3",".274",".336",".399",".736",".315","15223"
"Tommy La Stella","Angels","99","424","382","100","18","1","13","49","49","34","55","0","0",".261",".325",".413",".738",".314","12371"
"Ben Zobrist","","44","189","166","42","10","1","4","22","19","21","30","1","0",".251",".335",".389",".724",".313","7435"
"Kolten Wong","Cardinals","141","610","535","138","26","4","12","74","58","50","94","17","5",".259",".337",".393",".730",".313","12532"
"Brendan Rodgers","Rockies","11","49","45","12","3","0","1","6","6","3","11","0","0",".266",".316",".424",".740",".312","17907"
"Jurickson Profar","Padres","130","560","496","120","26","2","17","65","64","51","82","8","2",".242",".322",".408",".730",".312","10815"
"Devon Travis","","21","91","85","22","5","0","3","11","11","5","17","1","0",".266",".310",".426",".737",".311","13862"
"Garrett Hampson","Rockies","96","315","286","76","15","4","6","42","30","23","68","13","3",".267",".323",".405",".728",".310","19262"
"Michael Brosseau","Rays","21","90","81","20","5","0","3","10","10","6","20","1","0",".252",".314",".416",".730",".310","19683"
"Eric Sogard","Brewers","78","319","281","71","14","1","7","36","32","32","49","4","1",".254",".335",".383",".718",".310","7927"
"Jason Kipnis","","63","256","227","56","13","1","7","30","28","23","50","3","1",".245",".319",".407",".726",".309","9776"
"Rougned Odor","Rangers","136","576","519","118","23","3","28","73","71","43","157","13","5",".227",".295",".444",".739",".308","12282"
"Michael Chavis","Red Sox","115","495","449","106","22","1","22","62","65","36","157","3","1",".235",".300",".434",".734",".308","17321"
"Tommy Edman","Cardinals","117","484","443","117","24","5","10","59","48","31","86","13","3",".265",".317",".408",".724",".308","19470"
"Luis Urias","Brewers","117","509","448","112","23","2","11","58","51","46","110","4","2",".250",".331",".381",".713",".308","16622"
"Jed Lowrie","Mets","84","264","234","56","13","1","7","29","29","26","56","0","0",".241",".319",".399",".717",".307","4418"
"Jonathan Villar","Marlins","151","641","577","144","24","3","18","83","60","54","169","37","8",".249",".317",".393",".710",".305","10071"
"David Bote","Cubs","83","260","231","55","12","1","8","31","29","24","68","3","1",".237",".317",".396",".713",".304","14593"
"Daniel Robertson","Rays","47","200","174","42","8","1","4","22","18","20","47","2","1",".239",".331",".363",".694",".304","14145"
"Niko Goodrum","Tigers","146","612","551","131","28","5","18","74","64","53","169","13","4",".238",".308",".406",".714",".304","12092"
"Greg Garcia","Padres","62","166","142","35","6","1","2","18","13","19","34","1","0",".246",".343",".342",".685",".303","10951"
"Joe Panik","","52","220","197","51","10","1","4","23","21","18","23","2","1",".257",".324",".372",".696",".300","11936"
"David Fletcher","Angels","128","550","503","136","27","2","6","63","50","37","59","7","2",".271",".323",".369",".692",".299","17992"
"Alex Blandino","Reds","5","21","18","4","1","0","0","2","2","2","6","0","0",".226",".321",".362",".683",".299","16271"
"Daniel Descalso","Cubs","31","74","64","14","3","0","2","8","7","9","20","0","0",".218",".320",".366",".686",".298","8392"
"Brock Holt","","104","360","317","78","14","2","5","39","32","36","75","4","1",".247",".329",".349",".678",".297","9345"
"Jose Peraza","Red Sox","63","272","253","69","12","2","4","33","26","12","36","8","2",".272",".312",".385",".696",".297","13593"
"Domingo Leyba","Diamondbacks","23","58","53","13","3","0","1","6","6","4","10","0","0",".252",".304",".387",".691",".295","16404"
"Adalberto Mondesi","Royals","149","627","580","141","27","9","18","89","55","32","180","43","7",".244",".285",".417",".702",".294","13769"
"Dustin Pedroia","Red Sox","10","42","38","10","2","0","1","5","4","4","7","0","0",".255",".321",".356",".677",".294","8370"
"Logan Forsythe","Phillies","2","7","6","1","0","0","0","1","1","1","2","0","0",".226",".316",".352",".668",".292","7185"
"Yangervis Solarte","","3","14","13","3","1","0","0","2","2","1","2","0","0",".242",".300",".387",".687",".292","5352"
"Josh Harrison","Phillies","47","144","132","33","6","1","3","16","15","8","27","2","1",".248",".300",".381",".681",".292","8202"
"Robel Garcia","Cubs","3","14","13","3","1","0","1","2","2","1","5","0","0",".210",".288",".394",".683",".290","13167"
"Luis Rengifo","Angels","13","56","50","12","2","0","1","7","5","5","12","1","0",".238",".310",".360",".670",".290","19858"
"Brandon Drury","Blue Jays","87","371","339","79","18","1","11","40","40","26","91","1","1",".232",".293",".388",".681",".290","11615"
"Isan Diaz","Marlins","130","551","487","106","23","2","16","58","57","53","157","7","2",".218",".300",".375",".675",".289","17922"
