"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"J.D. Martinez","Red Sox","152","655","576","171","34","2","39","101","109","69","149","2","1",".298",".374",".566",".940",".385","6184"
"Yordan Alvarez","Astros","143","621","538","150","31","2","35","93","103","75","157","3","1",".279",".368",".540",".908",".372","19556"
"Nelson Cruz","Twins","147","637","568","152","29","1","39","92","104","54","152","1","0",".268",".339",".529",".869",".358","2434"
"Jorge Soler","Royals","149","627","546","140","29","1","35","86","97","68","167","2","1",".257",".346",".509",".855",".356","14221"
"Edwin Encarnacion","White Sox","134","572","499","121","21","1","34","78","86","62","123","2","0",".243",".333",".494",".827",".345","2151"
"Shohei Ohtani","Angels","130","557","504","138","30","3","26","79","77","45","126","9","3",".273",".334",".496",".830",".345","19755"
"Hanley Ramirez","","37","161","144","37","7","0","8","21","22","14","36","1","0",".255",".328",".465",".792",".332","8001"
"Ji-Man Choi","Rays","107","455","391","97","20","1","17","56","54","56","106","2","1",".247",".345",".433",".778",".331","5452"
"Khris Davis","Athletics","147","626","555","129","23","1","35","80","90","60","173","1","0",".232",".313",".470",".782",".326","9112"
"Nathaniel Lowe","Rays","13","55","49","12","3","0","2","7","7","6","13","0","0",".255",".337",".429",".766",".326","19566"
"Daniel Vogelbach","Mariners","79","331","280","63","11","0","14","38","42","47","83","0","0",".226",".338",".423",".762",".325","14130"
"Shin-Soo Choo","Rangers","146","617","527","129","25","2","19","76","62","73","152","6","2",".244",".346",".405",".751",".325","3174"
"Miguel Cabrera","Tigers","138","578","515","139","27","1","15","64","65","55","111","1","0",".269",".341",".411",".753",".320","1744"
"Nick Solak","Rangers","112","473","423","109","19","2","16","57","51","39","111","5","2",".258",".328",".422",".750",".320","19294"
"Renato Nunez","Orioles","144","600","543","131","26","1","29","72","77","44","151","2","0",".241",".306",".451",".757",".317","14503"
"Rowdy Tellez","Blue Jays","58","247","223","54","12","0","11","29","32","20","63","1","0",".241",".309",".441",".749",".314","15679"
"Mike Ford","Yankees","41","174","153","35","7","0","7","21","21","18","36","0","0",".230",".317",".418",".735",".311","15585"
"Robbie Grossman","Athletics","45","193","166","40","9","1","3","22","15","24","37","2","1",".241",".338",".349",".687",".302","5254"
"Mark Trumbo","","40","175","160","37","7","0","8","20","23","13","46","0","0",".231",".291",".422",".713",".300","6876"
"Zack Collins","White Sox","8","34","29","6","1","0","1","4","4","4","11","0","0",".200",".307",".366",".673",".292","19181"
"Bobby Bradley","Indians","5","21","19","4","1","0","1","2","3","2","7","0","0",".211",".285",".404",".689",".290","17278"
"Danny Mendick","White Sox","19","83","75","17","4","0","2","9","8","6","17","1","0",".233",".298",".356",".654",".283","18889"
"Albert Pujols","Angels","122","522","488","107","19","1","19","52","61","26","75","1","0",".219",".260",".375",".635",".268","1177"
"Rob Brantly","","26","101","92","21","4","1","1","9","9","6","18","0","0",".226",".283",".328",".611",".263","10655"
