"","roster_spot","salary","Name","Team","position","playerid","PA","AB","R","HR","RBI","SB","AVG","marginal.total.points","dollar.value","status","IP","ERA","WHIP","SV","W","K"
"1","C1",24,"J.T. Realmuto","Phillies","catcher","11739",539,496,73,22,74,6,0.27,7.88,21.69,"drafted",NA,NA,NA,NA,NA,NA
"2","C2",10,"Francisco Mejia","Padres","catcher","16403",390,364,43,13,48,2,0.258,3.21,8.83,"drafted",NA,NA,NA,NA,NA,NA
"3","1B",12,"Matt Olson","Athletics","first_base","14344",658,560,91,40,105,0,0.256,7.33,20.19,"drafted",NA,NA,NA,NA,NA,NA
"4","2B",25,"Jose Altuve","Astros","second_base","5417",658,578,99,25,88,11,0.299,8.48,23.33,"drafted",NA,NA,NA,NA,NA,NA
"5","SS",22,"Carlos Correa","Astros","shortstop","14162",644,524,91,33,105,3,0.272,7.37,20.3,"drafted",NA,NA,NA,NA,NA,NA
"6","3B",5,"Yandy Diaz","Rays","third_base","16578",588,480,74,16,64,4,0.272,4,11,"drafted",NA,NA,NA,NA,NA,NA
"7","CI",0,"",NA,NA,NA,NA,400,37.2,11.6,39.6,3,0.248,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","MI",0,"",NA,NA,NA,NA,400,20.2,7.2,21.1,1.7,0.246,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","OF1",5,"J.D. Davis","Mets","outfield","16219",504,443,62,22,67,3,0.268,4.02,11.06,"drafted",NA,NA,NA,NA,NA,NA
"10","OF2",32,"J.D. Martinez","Red Sox","dh","6184",658,563,102,40,119,3,0.302,10.96,30.17,"drafted",NA,NA,NA,NA,NA,NA
"11","OF3",5,"Victor Robles","Nationals","outfield","18363",658,568,81,18,74,32,0.263,10.86,29.89,"drafted",NA,NA,NA,NA,NA,NA
"12","OF4",17,"Mallex Smith","Mariners","outfield","13608",560,486,63,6,43,40,0.25,9.16,25.21,"drafted",NA,NA,NA,NA,NA,NA
"13","OF5",0,"",NA,NA,NA,NA,400,37.2,11.6,39.6,3,0.248,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","OF6",0,"",NA,NA,NA,NA,400,20.2,7.2,21.1,1.7,0.246,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","DH",0,"",NA,NA,NA,NA,400,20.2,7.2,21.1,1.7,0.246,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","P1",5,"Griffin Canning","Angels","pitcher","19867",NA,NA,NA,NA,NA,NA,NA,4.67,12.84,"drafted",135,4.34,1.28,0,9,140
"17","P2",15,"Carlos Carrasco","Indians","pitcher","6632",NA,NA,NA,NA,NA,NA,NA,10.31,28.38,"drafted",173,3.82,1.17,0,12,192
"18","P3",5,"Taylor Rogers","Twins","pitcher","13449",NA,NA,NA,NA,NA,NA,NA,8.95,24.65,"drafted",65,3.3,1.12,30,3,78
"19","P4",16,"Andrew Heaney","Angels","pitcher","15423",NA,NA,NA,NA,NA,NA,NA,8.65,23.82,"drafted",168,4.11,1.2,0,11,185
"20","P5",16,"David Price","Red Sox","pitcher","3184",NA,NA,NA,NA,NA,NA,NA,7.98,21.98,"drafted",164,4.12,1.25,0,12,171
"21","P6",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.9,4.02,1.34,0.5,4.3,73.5
"22","P7",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.9,4.02,1.34,0.5,4.3,73.5
"23","P8",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.9,4.02,1.34,0.5,4.3,73.5
"24","P9",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.9,4.02,1.34,0.5,4.3,73.5
"25","P10",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.9,4.02,1.34,0.5,4.3,73.5
