team,player,salary,position,drafted
marmaduke,Paul Goldschmidt,43,1B,kept
marmaduke,Alex Bregman,9,3B,kept
marmaduke,Ketel Marte,5,SS,kept
marmaduke,Billy Hamilton,19,OF,kept
marmaduke,Marcell Ozuna,21,OF,kept
marmaduke,Kyle Tucker,0,B,kept
marmaduke,Sean Doolittle,4,P,kept
marmaduke,Kyle Hendricks,13,P,kept
marmaduke,Aaron Nola,21,P,kept
marmaduke,James Paxton,11,P,kept
marmaduke,Alex Wood,4,P,kept
vero,Gregory Bird,9,1B,kept
vero,Yoan Moncada,12,2B,kept
vero,Nolan Arenado,23,3B,kept
vero,Orlando Arcia,9,SS,kept
vero,Nick Castellanos,14,3B,kept
vero,Gleyber Torres,0,B,kept
vero,Kyle Barraclough,6,P,kept
vero,Gio Gonzalez,11,P,kept
vero,Sonny Gray,10,P,kept
vero,Brad Hand,4,P,kept
vero,Corey Knebel,17,P,kept
vero,Alex Reyes,6,B,kept
pasadena,Carlos Correa,14,SS,kept
pasadena,Elvis Andrus,19,MI,kept
pasadena,Kris Bryant,24,3B,kept
pasadena,J.D. Martinez,24,OF,kept
pasadena,Mitch Haniger,8,OF,kept
pasadena,Bradley Zimmer,4,OF,kept
pasadena,Max Kepler,9,OF,kept
pasadena,Corey Kluber,25,P,kept
pasadena,Zack Godley,6,P,kept
pasadena,Austin Meadows,2,B,kept
pasadena,Ryan McMahon,2,B,kept
rippe,Justin Smoak,4,1B,kept
rippe,Jose Altuve,31,2B,kept
rippe,Josh Donaldson,26,3B,kept
rippe,Bryce Harper,29,OF,kept
rippe,Aaron Judge,4,OF,kept
rippe,Jacob deGrom,19,P,kept
rippe,Luis Castillo,9,P,kept
rippe,Michael Fulmer,9,P,kept
rippe,Edwin Diaz,10,P,kept
rippe,Greg Holland,5,P,kept
rippe,Victor Robles,0,B,kept
rippe,Brendan Rodgers,0,B,kept
bears,Gary Sanchez,9,C,kept
bears,Jonathan Villar,9,2B,kept
bears,Trevor Story,9,SS,kept
bears,Jake Lamb,10,3B,kept
bears,Domingo Santana,14,OF,kept
bears,Adam Duvall,9,OF,kept
bears,Kyle Schwarber,14,OF,kept
bears,Michael Taylor,4,OF,kept
bears,Robbie Ray,9,P,kept
bears,Felipe Rivero,4,P,kept
bears,Francisco Mejia,0,B,kept
bears,Willie Calhoun,0,B,kept
sturgeon,Willson Contreras,9,C,kept
sturgeon,Ozzie Albies,4,2B,kept
sturgeon,Manny Machado,29,3B,kept
sturgeon,Tim Anderson,9,SS,kept
sturgeon,Nick Senzel,4,CI,kept
sturgeon,Ronald Acuna,0,B,kept
sturgeon,Whit Merrifield,14,OF,kept
sturgeon,George Springer,19,OF,kept
sturgeon,Brent Honeywell,4,P,kept
sturgeon,Clayton Kershaw,47,P,kept
sturgeon,Luke Weaver,5,P,kept
sturgeon,Shohei Ohtani,13,B,kept
pkdodgers,Austin Barnes,4,C,kept
pkdodgers,Dee Gordon,19,2B,kept
pkdodgers,Matt Davidson,9,3B,kept
pkdodgers,Andrelton Simmons,4,SS,kept
pkdodgers,Cesar Hernandez,10,2B,kept
pkdodgers,Cody Bellinger,4,OF,kept
pkdodgers,Jorge Bonifacio,5,OF,kept
pkdodgers,Scott Schebler,7,OF,kept
pkdodgers,Chris Taylor,5,OF,kept
pkdodgers,Alec Hansen,0,B,kept
pkdodgers,Michael Kopech,0,B,kept
pkdodgers,Chad Kuhl,4,P,kept
ottawa,Rhys Hoskins,4,OF,kept
ottawa,Jose Ramirez,9,2B,kept
ottawa,Rafael Devers,4,3B,kept
ottawa,Delino DeShields,4,OF,kept
ottawa,Kevin Gausman,7,P,kept
ottawa,Kenta Maeda,9,P,kept
ottawa,Jon Gray,17,P,kept
ottawa,Raisel Iglesias,12,P,kept
ottawa,Vladimir Guerrero Jr.,0,B,kept
ottawa,Anthony Alford,0,B,kept
pasadena,Matt Olson,4,1B,kept
dsb,Rich Hill,12,P,kept
vero,Nick Castellanos,14,CI,kept
ottawa,Zack Greinke,22,P,kept
jobu,Yonder Alonso,4,1B,kept
hermanos,Ken Giles,16,P,kept
dsb,Wil Myers,18,1B,kept
ottawa,Steven Souza Jr.,10,OF,kept
hermanos,Welington Castillo,16,C,kept
hermanos,Starlin Castro,16,2B,kept
hermanos,Ryon Healy,12,3B,kept
hermanos,Joey Gallo,9,CI,kept
hermanos,Jedd Gyorko,15,MI,kept
hermanos,Brett Gardner,12,OF,kept
hermanos,Carson Kelly,0,B,kept
hermanos,Brad Brach,5,P,kept
hermanos,Carlos Martinez,19,P,kept
jobu,Tyler Flowers,8,C,kept
jobu,Marwin Gonzalez,4,2B,kept
jobu,Aaron Hicks,4,OF,kept
jobu,Lewis Brinson,4,OF,kept
jobu,Justin Verlander,20,P,kept
jobu,Jake Arrieta,20,P,kept
jobu,Ervin Santana,7,P,kept
jobu,Chris Archer,25,P,kept
jobu,Garrett Richards,4,P,kept
jobu,Kolby Allard,0,B,kept
isotopes,Mike Zunino,4,C,kept
isotopes,Rougned Odor,18,2B,kept
isotopes,Eugenio Suarez,9,3B,kept
isotopes,Trea Turner,11,SS,kept
isotopes,Kevin Pillar,7,OF,kept
isotopes,Noah Syndergaard,14,P,kept
isotopes,Yu Darvish,14,P,kept
isotopes,Patrick Corbin,4,P,kept
isotopes,Mike Leake,4,P,kept
isotopes,Chase Anderson,5,P,kept
deano,Eduardo Nunez,10,2B,kept
deano,Corey Seager,11,SS,kept
deano,Kevin Maitan,4,MI,kept
deano,Mookie Betts,33,OF,kept
deano,Avisail Garcia,4,OF,kept
deano,Nomar Mazara,9,OF,kept
deano,Roberto Osuna,15,P,kept
deano,Wade Davis,19,P,kept
deano,Kenley Jansen,29,P,kept
deano,Aroldis Chapman,30,P,kept
deener,Scooter Gennett,4,2B,kept
deener,Mike Moustakas,15,3B,kept
deener,Aaron Altherr,4,OF,kept
deener,Manuel Margot,9,OF,kept
deener,Khris Davis,32,OF,kept
deener,Brandon Finnegan,13,P,kept
deener,Andrew Triggs,4,P,kept
deener,Sean Newcomb,4,P,kept
deener,Tanner Roark,13,P,kept
deener,Hector Neris,10,P,kept
deener,Willy Adames,0,B,kept
deener,Yohander Mendez,0,B,kept
dembums,Daniel Murphy,18,2B,kept
dembums,Didi Gregorius,12,SS,kept
dembums,Ian Happ,4,MI,kept
dembums,Nelson Cruz,34,DH,kept
dembums,Giancarlo Stanton,39,OF,kept
dembums,Charlie Blackmon,19,OF,kept
dembums,Tommy Pham,18,OF,kept
dembums,Andrew Benintendi,4,OF,kept
dembums,Chris Sale,39,P,kept
dembums,Alex Colome,9,P,kept
bookhouse,Ryan Zimmerman,6,1B,kept
bookhouse,Miguel Sano,14,3B,kept
bookhouse,Francisco Lindor,14,SS,kept
bookhouse,Byron Buxton,14,OF,kept
bookhouse,Corey Dickerson,17,OF,kept
bookhouse,Marcus Stroman,14,P,kept
bookhouse,Jose Berrios,9,P,kept
bookhouse,Charlie Morton,4,P,kept
bookhouse,Michael Wacha,7,P,kept
bookhouse,Justin Wilson,5,P,kept
bellevegas,Josh Bell,4,1B,kept
bellevegas,Jonathan Schoop,14,2B,kept
bellevegas,Travis Shaw,9,3B,kept
bellevegas,Paul DeJong,6,SS,kept
bellevegas,Matt Chapman,4,CI,kept
bellevegas,Hunter Renfroe,16,OF,kept
bellevegas,Aaron Sanchez,9,P,kept
bellevegas,Luis Severino,14,P,kept
bellevegas,Chris Devenski,4,P,kept
bellevegas,Arodys Vizcaino,8,P,kept
bellevegas,Eloy Jimenez,2,B,kept
bellevegas,Jeimer Candelario,0,B,kept
balco,Chance Sisco,4,C,kept
balco,Justin Bour,11,1B,kept
balco,Justin Turner,14,3B,kept
balco,Amed Rosario,4,SS,kept
balco,Zack Cozart,4,MI,kept
balco,Yulieski Gurriel,9,CI,kept
balco,Trey Mancini,4,OF,kept
balco,Michael Conforto,14,OF,kept
balco,Eric Thames,21,OF,kept
balco,Trevor Bauer,4,OF,kept
balco,Alex Verdugo,0,OF,kept
dsb,Brian Dozier,24,2B,kept
dsb,Freddie Freeman,27,3B,kept
dsb,Tim Beckham,7,SS,kept
dsb,Logan Morrison,4,CI,kept
dsb,Mike Trout,44,OF,kept
dsb,Eddie Rosario,7,OF,kept
dsb,Dallas Keuchel,19,P,kept
dsb,Matt Shoemaker,4,P,kept
dsb,Rich Hill,12,P,kept
dsb,Dylan Cozens,0,B,kept
vero,Salvador Perez,27,C,01/09/18
isotopes,A.J. Pollock,29,OF,01/09/18
pkdodgers,Craig Kimbrel,28,P,01/09/18
deano,Joey Votto,32,1B,01/09/18
hermanos,Johnny Cueto,15,P,01/09/18
deano,David Price,19,P,01/09/18
bellevegas,Justin Upton,30,OF,01/09/18
pkdodgers,Max Scherzer,43,P,01/09/18
balco,Robinson Cano,27,2B,01/10/18
isotopes,Carlos Santana,18,1B,01/10/18
ottawa,Miguel Cabrera,19,1B,01/10/18
pkdodgers,CC Sabathia,14,P,01/10/18
bellevegas,Kendrys Morales,9,DH,01/10/18
pkdodgers,Anthony DeSclafani,6,P,01/10/18
dembums,Todd Frazier,12,3B,01/10/18
pkdodgers,Yasiel Puig,30,OF,01/10/18
hermanos,Javier Baez,18,SS,01/11/18
rippe,Andrew Miller,13,P,01/11/18
hermanos,Alex Cobb,11,P,01/11/18
dsb,Stephen Strasburg,35,P,01/11/18
vero,Joc Pederson,13,OF,01/11/18
marmaduke,Evan Longoria,16,CI,01/11/18
marmaduke,Yadier Molina,16,C,01/11/18
vero,Anthony Rizzo,38,DH,01/11/18
bellevegas,Andrew McCutchen,30,OF,01/12/18
jobu,Madison Bumgarner,33,P,01/12/18
rippe,Adam Eaton,17,OF,01/12/18
isotopes,John Jaso,1,OF,01/12/18
bookhouse,Jose Quintana,27,P,01/12/18
bookhouse,Buster Posey,25,C,01/12/18
bellevegas,Adam Jones,26,OF,01/12/18
pkdodgers,Ben Gamel,7,OF,01/12/18
ottawa,Kyle Seager,21,CI,01/13/18
balco,Masahiro Tanaka,22,P,01/13/18
balco,Jon Lester,23,P,01/13/18
deano,Anthony Rendon,25,3B,01/13/18
hermanos,Jose Abreu,28,1B,01/13/18
pkdodgers,Yasmani Grandal,13,C,01/13/18
isotopes,Edwin Encarnacion,24,DH,01/13/18
bellevegas,Miles Mikolas,10,P,01/13/18
bookhouse,Jeff Samardzija,24,P,01/15/18
marmaduke,Adrian Beltre,16,DH,01/15/18
bellevegas,Gerrit Cole,25,P,01/15/18
bellevegas,David Robertson,7,P,01/15/18
hermanos,Cody Allen,24,P,01/15/18
marmaduke,Odubel Herrera,16,OF,01/15/18
isotopes,Christian Yelich,25,OF,01/15/18
pasadena,Carlos Carrasco,32,P,01/15/18
bears,Jackie Bradley Jr.,17,OF,01/16/18
ottawa,Brian McCann,11,C,01/16/18
jobu,Ben Zobrist,11,OF,01/16/18
rippe,Ryan Braun,24,OF,01/16/18
ottawa,Kevin Kiermaier,24,OF,01/16/18
pkdodgers,Cole Hamels,16,P,01/16/18
balco,Starling Marte,29,OF,01/16/18
bears,Yoenis Cespedes,29,OF,01/16/18
